related       +1 YT - ZERO  
return        +1 PT         
returning     +1 PT         
returns       +1 YT         
right         +3 PT         
running       +1 YT         
russo         +1 YT - ZERO  
sarasohn      +1 PT - ZERO  
say           +1 YT         
says          +3 PT         
scene         +1 PT - ZERO  
school        +3 PT - ZERO  
scope         +2 YT         
scopes        +1 YT - ZERO  
scores        +1 PT - ZERO  
sean          +3 YT - ZERO  
seat          +2 YT - ZERO  
second        +1 YT         
section       +1 YT - ZERO  
security      +1 PT - ZERO  
see           +3 PT         
seeing        +1 YT - ZERO  
seen          +1 PT         
sends         +1 YT - ZERO  
seriously     +1 YT         
set           +3 PT         
setup         +2 YT         
seven         +1 YT - ZERO  
share         +1 PT - ZERO  
she           +1 YT         
she's         +2 YT - ZERO  
sheet         +1 YT - ZERO  
shorter       +1 PT - ZERO  
shortfalls    +1 PT - ZERO  
should        +2 PT         
show          +2 YT         
showery       +1 YT - ZERO  
showing       +2 PT         
sides         +1 PT - ZERO  
sierra        +1 YT - ZERO  
simply        +1 PT - ZERO  
sir           +4 YT         
six           +2 PT         
skip          +1 YT         
so            +20 YT        
some          +2 YT         
something     +1 YT         
songs         +1 PT - ZERO  
sorry         +1 YT         
sort          +1 PT         
sorted        +1 YT - ZERO  
squadrons     +1 PT - ZERO  
star          +1 PT - ZERO  
step          +1 PT         
still         +1 YT         
story         +1 YT - ZERO  
stuff         +1 PT         
sure          +1 YT         
takes         +1 YT - ZERO  
talk          +2 YT         
teaching      +1 YT - ZERO  
ten           +1 YT         
test          +1 YT         
than          +1 PT         
thank         +1 YT         
thanks        +1 PT - ZERO  
that          +6 YT         
that'll       +1 YT - ZERO  
that's        +4 PT         
the           +3 YT         
their         +1 PT         
them          +7 YT         
then          +11 YT        
there         +3 YT         
there's       +4 YT         
they          +2 YT         
they're       +3 YT         
thing         +1 YT         
think         +3 PT         
thirty        +2 YT         
this          +4 PT         
though        +1 YT         
thought       +1 YT - ZERO  
thousand      +1 YT         
three         +5 PT         
thursday      +1 YT - ZERO  
time          +2 PT         
to            +28 PT        
today         +1 PT         
together      +1 YT - ZERO  
tone          +1 PT - ZERO  
too           +2 YT         
tool          +1 YT         
toolboxes     +1 PT - ZERO  
town          +1 YT         
tried         +2 PT - ZERO  
true          +3 YT         
try           +2 YT         
two           +1 YT         
uh            +7 YT - ZERO  
um            +6 YT - ZERO  
umbc          +1 YT - ZERO  
underscore    +4 YT - ZERO  
understand    +1 PT         
up            +1 YT         
us            +2 PT         
used          +1 YT         
value         +1 YT         
values        +2 YT         
versus        +1 PT - ZERO  
very          +1 PT         
viewers       +1 PT - ZERO  
wait          +2 YT         
wake          +1 YT         
walk          +1 YT - ZERO  
want          +3 PT         
was           +1 PT         
way           +3 YT         
we            +3 PT         
we'll         +2 YT         
we've         +1 YT         
went          +1 YT         
were          +2 YT         
what's        +1 YT         
whatever      +1 PT         
when          +5 YT         
whenever      +1 YT         
which         +1 YT         
who           +3 PT         
whoever       +1 YT         
whole         +1 PT         
why           +2 PT         
will          +2 PT         
win           +1 PT - ZERO  
with          +4 YT         
within        +1 YT - ZERO  
word          +1 PT         
work          +2 YT         
worked        +1 PT - ZERO  
would         +3 YT         
write         +1 YT - ZERO  
writing       +1 PT - ZERO  
written       +1 YT - ZERO  
wrong         +1 YT         
x             +6 YT         
year          +1 PT - ZERO  
years         +1 PT - ZERO  
yep           +1 YT         
yes           +4 YT         
you           +4 PT         
you've        +2 YT         
your          +3 YT         
zero          +4 PT         
